mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h
Julio,9,1004.23,1035.12,1019.675,15.445,0.21,0.13,21.67,45
Julio,10,1167.77,1190.5,1179.135,11.365,0.21,0.13,21.67,30
Julio,11,1265.5,1282.05,1273.775,8.275,0.21,0.13,21.67,15
Julio,12,1290.73,1303.58,1297.155,6.425,0.21,0.13,21.67,0
Julio,13,1241.75,1253.83,1247.79,6.04,0.21,0.13,21.67,-15
Julio,14,1121.85,1136.08,1128.965,7.115,0.21,0.13,21.67,-30
Julio,15,939.2,958.02,948.61,9.41,0.21,0.13,21.67,-45
Julio,16,706.23,731.7,718.965,12.735,0.21,0.13,21.67,-60
Julio,17,438.9,472.65,455.775,16.875,0.21,0.13,21.67,-75
Julio,18,155.48,205.77,180.625,25.145,0.21,0.13,21.67,-90
Agosto,5,13.25,18.55,15.9,2.65,0.2,0.13,14.43,105
Agosto,6,176.38,245.58,210.98,34.6,0.2,0.13,14.43,90
Agosto,7,468.65,526.17,497.41,28.76,0.2,0.13,14.43,75
Agosto,8,736.62,784.55,760.585,23.965,0.2,0.13,14.43,60
Agosto,9,960.95,1003.05,982,21.05,0.2,0.13,14.43,45
Agosto,10,1126.33,1166.8,1146.565,20.235,0.2,0.13,14.43,30
Agosto,11,1221.42,1264.62,1243.02,21.6,0.2,0.13,14.43,15
Agosto,12,1239.77,1289.83,1264.8,25.03,0.2,0.13,14.43,0
Agosto,13,1180.1,1240.65,1210.375,30.275,0.2,0.13,14.43,-15
Agosto,14,1046.48,1120.48,1083.48,37,0.2,0.13,14.43,-30
Agosto,15,847.95,937.48,892.715,44.765,0.2,0.13,14.43,-45
Agosto,16,598.05,704.08,651.065,53.015,0.2,0.13,14.43,-60
Agosto,17,314,436.25,375.125,61.125,0.2,0.13,14.43,-75
Agosto,18,45.2,152.23,98.715,53.515,0.2,0.13,14.43,-90
Septiembre,6,103.45,173.8,138.625,35.175,0.19,0.11,3.42,90
Septiembre,7,396.33,466.62,431.475,35.145,0.19,0.11,3.42,75
Septiembre,8,664.65,734.77,699.71,35.06,0.19,0.11,3.42,60
Septiembre,9,885.25,959.15,922.2,36.95,0.19,0.11,3.42,45
Septiembre,10,1043.05,1124.4,1083.725,40.675,0.19,0.11,3.42,30
Septiembre,11,1127.27,1219.23,1173.25,45.98,0.19,0.11,3.42,15
Septiembre,12,1132.17,1237.2,1184.685,52.515,0.19,0.11,3.42,0
Septiembre,13,1057.4,1177.02,1117.21,59.81,0.19,0.11,3.42,-15
Septiembre,14,908.05,1042.83,975.44,67.39,0.19,0.11,3.42,-30
Septiembre,15,694.27,843.7,768.985,74.715,0.19,0.11,3.42,-45
Septiembre,16,430.67,593.25,511.96,81.29,0.19,0.11,3.42,-60
Septiembre,17,135.77,308.62,222.195,86.425,0.19,0.11,3.42,-75
Septiembre,18,14.55,42.12,28.335,13.785,0.19,0.11,3.42,-90
Octubre,6,35.65,101.12,68.385,32.735,0.17,0.09,-8.48,90
Octubre,7,287.75,393.38,340.565,52.815,0.17,0.09,-8.48,75
Octubre,8,548.55,661.52,605.035,56.485,0.17,0.09,-8.48,60
Octubre,9,760.48,881.85,821.165,60.685,0.17,0.09,-8.48,45
Octubre,10,909.08,1039.27,974.175,65.095,0.17,0.09,-8.48,30
Octubre,11,984.25,1123.08,1053.665,69.415,0.17,0.09,-8.48,15
Octubre,12,980.83,1127.55,1054.19,73.36,0.17,0.09,-8.48,0
Octubre,13,899.05,1052.35,975.7,76.65,0.17,0.09,-8.48,-15
Octubre,14,744.52,902.6,823.56,79.04,0.17,0.09,-8.48,-30
Octubre,15,527.75,688.52,608.135,80.385,0.17,0.09,-8.48,-45
Octubre,16,263.52,424.67,344.095,80.575,0.17,0.09,-8.48,-60
Octubre,17,24.15,130.08,77.115,52.965,0.17,0.09,-8.48,-75
Noviembre,6,14.83,33.8,24.315,9.485,0.16,0.07,-18.17,90
Noviembre,7,164.95,283.7,224.325,59.375,0.16,0.07,-18.17,75
Noviembre,8,420.52,544.25,482.385,61.865,0.16,0.07,-18.17,60
Noviembre,9,631.12,755.98,693.55,62.43,0.16,0.07,-18.17,45
Noviembre,10,781.33,904.4,842.865,61.535,0.16,0.07,-18.17,30
Noviembre,11,860.9,979.45,920.175,59.275,0.16,0.07,-18.17,15
Noviembre,12,864.42,976.02,920.22,55.8,0.16,0.07,-18.17,0
Noviembre,13,791.67,894.3,842.985,51.315,0.16,0.07,-18.17,-15
Noviembre,14,647.6,739.88,693.74,46.14,0.16,0.07,-18.17,-30
Noviembre,15,442,523.27,482.635,40.635,0.16,0.07,-18.17,-45
Noviembre,16,188.9,259.27,224.085,35.185,0.16,0.07,-18.17,-60
Noviembre,17,4.5,22.55,13.525,9.025,0.16,0.07,-18.17,-75
Noviembre,6,14.83,33.8,24.315,9.485,0.16,0.07,-18.17,90
Noviembre,7,164.95,283.7,224.325,59.375,0.16,0.07,-18.17,75
Diciembre,7,86.42,159.77,123.095,36.675,0.14,0.06,-23.12,75
Diciembre,8,344.23,415.75,379.99,35.76,0.14,0.06,-23.12,60
Diciembre,9,566.83,626.52,596.675,29.845,0.14,0.06,-23.12,45
Diciembre,10,731.4,777.08,754.24,22.84,0.14,0.06,-23.12,30
Diciembre,11,825.08,857.15,841.115,16.035,0.14,0.06,-23.12,15
Diciembre,12,840.7,861.27,850.985,10.285,0.14,0.06,-23.12,0
Diciembre,13,777.55,797.6,787.575,10.025,0.14,0.06,-23.12,-15
Diciembre,14,640.33,670.6,655.465,15.135,0.14,0.06,-23.12,-30
Diciembre,15,439.05,479.48,459.265,20.215,0.14,0.06,-23.12,-45
Diciembre,16,192.6,237.23,214.915,22.315,0.14,0.06,-23.12,-60
Diciembre,17,14.55,18.9,16.725,2.175,0.14,0.06,-23.12,-75
