mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h,B,AM,Azimut,AngIncidencia,IDirect0,IDif0,IT0,IDirect0error,IDif0error,IT0error
Septiembre,12,1132.17,1237.2,1184.685,52.515,0.19,0.11,3.42,0,64.08,1.11,0,4.8,956.06,98.13,1054.19,42.38,4.35,46.73
Septiembre,13,1057.4,1177.02,1117.21,59.81,0.19,0.11,3.42,-15,60.43,1.15,-31.51,15.71,864.37,91.84,956.21,46.27,4.92,51.19
Septiembre,14,908.05,1042.83,975.44,67.39,0.19,0.11,3.42,-30,51.52,1.28,-53.29,30.34,660.08,78.23,738.31,45.6,5.4,51.01
Septiembre,15,694.27,843.7,768.985,74.715,0.19,0.11,3.42,-45,40.13,1.55,-67.04,45.05,404.68,58.59,463.27,39.32,5.69,45.01
Septiembre,16,430.67,593.25,511.96,81.29,0.19,0.11,3.42,-60,27.67,2.15,-78.5,60.7,166.54,34.8,201.35,26.44,5.53,31.97
Septiembre,17,135.77,308.62,222.195,86.425,0.19,0.11,3.42,-75,14.74,3.93,-89.95,77.34,23.07,10.77,33.84,8.98,4.19,13.16
Septiembre,18,14.55,42.12,28.335,13.785,0.19,0.11,3.42,-90,1.67,34.21,-89.95,88.54,0,0,0.01,0,0,0
Octubre,6,35.65,101.12,68.385,32.735,0.17,0.09,-8.48,90,4.14,13.84,81.93,82.32,0.87,0.54,1.41,0.42,0.26,0.68
Octubre,7,287.75,393.38,340.565,52.815,0.17,0.09,-8.48,75,8.68,6.63,76.2,75.51,27.6,9.23,36.83,4.28,1.43,5.71
Octubre,8,548.55,661.52,605.035,56.485,0.17,0.09,-8.48,60,21.03,2.79,67.04,60.36,186.21,31.51,217.72,17.38,2.94,20.32
Octubre,9,760.48,881.85,821.165,60.685,0.17,0.09,-8.48,45,32.51,1.86,56.15,45.41,420.18,50.09,470.27,31.05,3.7,34.75
Octubre,10,909.08,1039.27,974.175,65.095,0.17,0.09,-8.48,30,42.41,1.48,41.83,30.59,652.08,63.39,715.47,43.57,4.24,47.8
Octubre,11,984.25,1123.08,1053.665,69.415,0.17,0.09,-8.48,15,49.52,1.31,22.92,16.39,809.03,70.57,879.6,53.3,4.65,57.95
Octubre,12,980.83,1127.55,1054.19,73.36,0.17,0.09,-8.48,0,52.18,1.27,0,7.1,842.97,71.09,914.06,58.66,4.95,63.6
Octubre,13,899.05,1052.35,975.7,76.65,0.17,0.09,-8.48,-15,49.52,1.31,-22.92,16.39,749.16,65.35,814.52,58.86,5.13,63.99
Octubre,14,744.52,902.6,823.56,79.04,0.17,0.09,-8.48,-30,42.41,1.48,-41.83,30.59,551.26,53.59,604.84,52.91,5.14,58.05
Octubre,15,527.75,688.52,608.135,80.385,0.17,0.09,-8.48,-45,32.51,1.86,-56.15,45.41,311.18,37.1,348.27,41.13,4.9,46.03
Octubre,16,263.52,424.67,344.095,80.575,0.17,0.09,-8.48,-60,21.03,2.79,-67.04,60.36,105.9,17.92,123.82,24.8,4.2,28.99
Octubre,17,24.15,130.08,77.115,52.965,0.17,0.09,-8.48,-75,8.68,6.63,-76.2,75.51,6.25,2.09,8.34,4.29,1.44,5.73
Noviembre,6,14.83,33.8,24.315,9.485,0.16,0.07,-18.17,90,8.79,6.55,73.91,74.26,2.31,0.56,2.87,0.9,0.22,1.12
Noviembre,7,164.95,283.7,224.325,59.375,0.16,0.07,-18.17,75,3.53,16.24,67.04,75.41,4.2,1.09,5.29,1.11,0.29,1.4
Noviembre,8,420.52,544.25,482.385,61.865,0.16,0.07,-18.17,60,15.15,3.83,58.44,61.14,126.17,17.01,143.19,16.18,2.18,18.36
Noviembre,9,631.12,755.98,693.55,62.43,0.16,0.07,-18.17,45,25.65,2.31,48.7,47.46,324,31.19,355.19,29.16,2.81,31.97
Noviembre,10,781.33,904.4,842.865,61.535,0.16,0.07,-18.17,30,34.37,1.77,35.52,34.06,526.08,41.33,567.41,38.41,3.02,41.43
Noviembre,11,860.9,979.45,920.175,59.275,0.16,0.07,-18.17,15,40.34,1.54,18.91,22.35,665.17,46.81,711.98,42.85,3.02,45.86
Noviembre,12,864.42,976.02,920.22,55.8,0.16,0.07,-18.17,0,42.49,1.48,0,16.79,695.23,47.27,742.5,42.15,2.87,45.02
Noviembre,13,791.67,894.3,842.985,51.315,0.16,0.07,-18.17,-15,40.34,1.54,-18.91,22.35,609.37,42.89,652.26,37.1,2.61,39.71
Noviembre,14,647.6,739.88,693.74,46.14,0.16,0.07,-18.17,-30,34.37,1.77,-35.52,34.06,433,34.02,467.02,28.8,2.26,31.06
Noviembre,15,442,523.27,482.635,40.635,0.16,0.07,-18.17,-45,25.65,2.31,-48.7,47.46,225.47,21.71,247.18,18.98,1.83,20.81
Noviembre,16,188.9,259.27,224.085,35.185,0.16,0.07,-18.17,-60,15.15,3.83,-58.44,61.14,58.61,7.9,66.52,9.2,1.24,10.44
Noviembre,17,4.5,22.55,13.525,9.025,0.16,0.07,-18.17,-75,3.53,16.24,-67.04,75.41,0.25,0.07,0.32,0.17,0.04,0.21
Diciembre,7,86.42,159.77,123.095,36.675,0.14,0.06,-23.12,75,0.87,66.12,63.03,75.83,0,0,0,0,0,0
Diciembre,8,344.23,415.75,379.99,35.76,0.14,0.06,-23.12,60,12.03,4.8,53.86,61.72,91.96,10.83,102.78,8.65,1.02,9.67
Diciembre,9,566.83,626.52,596.675,29.845,0.14,0.06,-23.12,45,22,2.67,44.69,48.79,270.47,22.91,293.38,13.53,1.15,14.68
Diciembre,10,731.4,777.08,754.24,22.84,0.14,0.06,-23.12,30,30.13,1.99,32.09,36.31,460.02,31.85,491.87,13.93,0.96,14.9
Diciembre,11,825.08,857.15,841.115,16.035,0.14,0.06,-23.12,15,35.59,1.72,16.62,26.05,593.94,36.88,630.83,11.32,0.7,12.02
Diciembre,12,840.7,861.27,850.985,10.285,0.14,0.06,-23.12,0,37.54,1.64,0,21.74,628.3,37.74,666.04,7.6,0.46,8.05
Diciembre,13,777.55,797.6,787.575,10.025,0.14,0.06,-23.12,-15,35.59,1.72,-16.62,26.05,556.13,34.54,590.66,7.08,0.44,7.52
Diciembre,14,640.33,670.6,655.465,15.135,0.14,0.06,-23.12,-30,30.13,1.99,-32.09,36.31,399.77,27.68,427.45,9.23,0.64,9.87
Diciembre,15,439.05,479.48,459.265,20.215,0.14,0.06,-23.12,-45,22,2.67,-44.69,48.79,208.19,17.63,225.82,9.16,0.78,9.94
Diciembre,16,192.6,237.23,214.915,22.315,0.14,0.06,-23.12,-60,12.03,4.8,-53.86,61.72,52,6.12,58.13,5.4,0.64,6.04
Diciembre,17,14.55,18.9,16.725,2.175,0.14,0.06,-23.12,-75,0.87,66.12,-63.03,75.83,0,0,0,0,0,0
