mes,hora,v min,v max,prom,error,ancho clase,rango
Agosto,14,1046.48,1120.48,1083.48,37,14.8,74
Agosto,15,847.95,937.48,892.715,44.765,17.91,89.53
Agosto,16,598.05,704.08,651.065,53.015,21.21,106.03
Agosto,17,314,436.25,375.125,61.125,24.45,122.25
Agosto,18,45.2,152.23,98.715,53.515,21.41,107.03
Septiembre,6,103.45,173.8,138.625,35.175,14.07,70.35
Septiembre,7,396.33,466.62,431.475,35.145,14.06,70.29
Septiembre,8,664.65,734.77,699.71,35.06,14.02,70.12
Septiembre,9,885.25,959.15,922.2,36.95,14.78,73.9
Septiembre,10,1043.05,1124.4,1083.725,40.675,16.27,81.35
Septiembre,11,1127.27,1219.23,1173.25,45.98,18.39,91.96
Septiembre,12,1132.17,1237.2,1184.685,52.515,21.01,105.03
Septiembre,13,1057.4,1177.02,1117.21,59.81,23.92,119.62
Septiembre,14,908.05,1042.83,975.44,67.39,26.96,134.78
Septiembre,15,694.27,843.7,768.985,74.715,29.89,149.43
Septiembre,16,430.67,593.25,511.96,81.29,32.52,162.58
Septiembre,17,135.77,308.62,222.195,86.425,34.57,172.85
Septiembre,18,14.55,42.12,28.335,13.785,6.89,27.57
Octubre,6,35.65,101.12,68.385,32.735,13.09,65.47
Octubre,7,287.75,393.38,340.565,52.815,21.13,105.63
Octubre,8,548.55,661.52,605.035,56.485,22.59,112.97
Octubre,9,760.48,881.85,821.165,60.685,24.27,121.37
Octubre,10,909.08,1039.27,974.175,65.095,26.04,130.19
Octubre,11,984.25,1123.08,1053.665,69.415,27.77,138.83
Octubre,12,980.83,1127.55,1054.19,73.36,29.34,146.72
Octubre,13,899.05,1052.35,975.7,76.65,30.66,153.3
Octubre,14,744.52,902.6,823.56,79.04,31.62,158.08
Octubre,15,527.75,688.52,608.135,80.385,32.15,160.77
Octubre,16,263.52,424.67,344.095,80.575,32.23,161.15
Octubre,17,24.15,130.08,77.115,52.965,21.19,105.93
Noviembre,6,14.83,33.8,24.315,9.485,4.74,18.97
Noviembre,7,164.95,283.7,224.325,59.375,23.75,118.75
Noviembre,8,420.52,544.25,482.385,61.865,24.75,123.73
Noviembre,9,631.12,755.98,693.55,62.43,24.97,124.86
Noviembre,10,781.33,904.4,842.865,61.535,24.61,123.07
Noviembre,11,860.9,979.45,920.175,59.275,23.71,118.55
Noviembre,12,864.42,976.02,920.22,55.8,22.32,111.6
Noviembre,13,791.67,894.3,842.985,51.315,20.53,102.63
Noviembre,14,647.6,739.88,693.74,46.14,18.46,92.28
Noviembre,15,442,523.27,482.635,40.635,16.25,81.27
Noviembre,16,188.9,259.27,224.085,35.185,14.07,70.37
Noviembre,17,4.5,22.55,13.525,9.025,4.51,18.05
Noviembre,6,14.83,33.8,24.315,9.485,4.74,18.97
Noviembre,7,164.95,283.7,224.325,59.375,23.75,118.75
Diciembre,7,86.42,159.77,123.095,36.675,14.67,73.35
Diciembre,8,344.23,415.75,379.99,35.76,14.3,71.52
Diciembre,9,566.83,626.52,596.675,29.845,11.94,59.69
Diciembre,10,731.4,777.08,754.24,22.84,9.14,45.68
Diciembre,11,825.08,857.15,841.115,16.035,6.41,32.07
Diciembre,12,840.7,861.27,850.985,10.285,4.11,20.57
Diciembre,13,777.55,797.6,787.575,10.025,4.01,20.05
Diciembre,14,640.33,670.6,655.465,15.135,6.05,30.27
Diciembre,15,439.05,479.48,459.265,20.215,8.09,40.43
Diciembre,16,192.6,237.23,214.915,22.315,8.93,44.63
Diciembre,17,14.55,18.9,16.725,2.175,1.45,4.35
